auth1,booknum,original_publication_year,book_id,work_id,title,work_ratings_count
Ann Rule,1,1980.0,2592,1353958,The Stranger Beside Me: Ted Bundy The Shocking Inside Story,39253
Naoko Takeuchi,1,1991.0,4415,15555441,美少女戦士セーラームーン新装版 1 [Bishōjo Senshi Sailor Moon Shinsōban 1],22319
Betty MacDonald,1,1947.0,2750,2208078,"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",45128
Theodore Dreiser,1,1900.0,3676,2437051,Sister Carrie,30478
Jennifer Donnelly,1,2002.0,4497,1296201,"The Tea Rose (The Tea Rose, #1)",25268
Christopher Moore,1,1992.0,2923,2915038,"Practical Demonkeeping (Pine Cove, #1)",35844
E. Nesbit,1,1902.0,8262,975095,"Five Children and It (Five Children, #1)",18074
Kazu Kibuishi,1,2008.0,3471,1384641,"The Stonekeeper (Amulet, #1)",35082
Jorge Luis Borges,1,1944.0,3124,1007116,Ficciones,34337
Hubert Selby Jr.,1,1964.0,5550,543352,Last Exit to Brooklyn,17573
Cory Doctorow,1,2008.0,3170,939584,Little Brother,39657
Simms Taback,1,1977.0,7878,150331,Joseph Had a Little Overcoat,14844
Erich Segal,1,1970.0,2408,816372,"Love Story (Love Story, #1)",44679
Morgan Rhodes,1,2012.0,4500,18111704,"Falling Kingdoms (Falling Kingdoms, #1)",36097
Megan McCafferty,1,2001.0,4092,2975988,"Sloppy Firsts (Jessica Darling, #1)",32540
Kate Mosse,1,2005.0,3070,1225097,"Labyrinth (Languedoc, #1)",40163
Joseph Delaney,1,2004.0,3652,3496896,"Revenge of the Witch (The Last Apprentice / Wardstone Chronicles, #1)",33913
Samantha Shannon,1,2013.0,3087,19248070,"The Bone Season (The Bone Season, #1)",42533
Rosamund Lupton,1,2010.0,2675,13043611,Sister,41576
Charles C. Mann,1,2005.0,2253,38742,1491: New Revelations of the Americas Before Columbus,43649
Timothy J. Keller,1,2007.0,2681,2306323,The Reason for God: Belief in an Age of Skepticism,33938
Edward Rutherfurd,1,1987.0,3028,1952547,Sarum: The Novel of England,34364
Anthony Robbins,1,1986.0,4702,165637,Unlimited Power : The New Science Of Personal Achievement,19679
Alfred Bester,1,1953.0,5192,1247570,The Demolished Man,22474
George Orwell,1,1933.0,2584,2374970,Down and Out in Paris and London,40499
A.W. Tozer,1,1948.0,2266,203894,The Pursuit of God,40548
Jack Higgins,1,1975.0,2223,2593744,"The Eagle Has Landed (Liam Devlin, #1)",43019
Joseph Campbell,1,1949.0,5283,971054,The Hero With a Thousand Faces,21207
Mark Kurlansky,1,1988.0,6996,62987,Cod: A Biography of the Fish that Changed the World,14378
Philip Roth,1,1959.0,7579,2971270,"Goodbye, Columbus and Five Short Stories",12882
Mark Bowden,1,1999.0,2115,1041952,Black Hawk Down,43749
Lauren Barnholdt,1,2007.0,2778,1667738,Two-Way Street,42774
Mark Waid,1,1996.0,2143,89985,Kingdom Come,45308
Brodi Ashton,1,2012.0,4158,14297146,"Everneath (Everneath, #1)",38028
Teddy Slater,1,1940.0,3662,751354,Lady and the Tramp,28017
Dave Ramsey,1,1992.0,8513,124787,Financial Peace Revisited,11271
Mary  Stewart,1,1970.0,3818,1864677,"The Crystal Cave (Arthurian Saga, #1)",36328
D.H. Lawrence,1,1913.0,3002,3173046,Sons and Lovers,38681
James D. Bradley,1,2000.0,2647,2618496,Flags of Our Fathers,39430
John Updike,1,1960.0,2464,802269,"Rabbit, Run (Rabbit Angstrom #1)",42551
Marisa de los Santos,1,2005.0,3634,3000860,Love Walked In,29698
Susane Colasanti,1,2006.0,3487,767067,When It Happens,33534
Anna Carey,1,2011.0,3783,14180376,"Eve (Eve, #1)",37764
Paul Auster,1,1985.0,8588,2434710,"City of Glass (The New York Trilogy, #1)",11176
Sarah MacLean,1,2010.0,5594,6777627,"Nine Rules to Break When Romancing a Rake (Love By Numbers, #1)",29839
Gary D. Schmidt,1,2007.0,4256,2586820,The Wednesday Wars,28812
Heather Brewer,1,2007.0,4355,518471,"Eighth Grade Bites (The Chronicles of Vladimir Tod, #1)",31398
Mohsin Hamid,1,2007.0,2462,725380,The Reluctant Fundamentalist,40953
Jenny Nimmo,1,2002.0,3769,361223,"Midnight for Charlie Bone (The Children of the Red King, #1)",34055
Frank Beddor,1,2004.0,3728,918951,"The Looking Glass Wars (The Looking Glass Wars, #1)",37993
Daniel Silva,1,1996.0,6238,90418,The Unlikely Spy,17139
Shelly Crane,1,2011.0,4267,16680623,"Significance (Significance, #1)",37825
Stendhal,1,1830.0,2709,1028281,The Red and the Black,42298
Mary Higgins Clark,1,1975.0,3018,1671961,Where Are the Children?,36306
Sam Harris,1,2004.0,3625,2399497,"The End of Faith: Religion, Terror, and the Future of Reason",26202
David Weber,1,1992.0,3644,965345,"On Basilisk Station (Honor Harrington, #1)",33182
Michael Rosen,1,1989.0,3094,1974395,We're Going on a Bear Hunt,34254
Heidi Murkoff,1,1969.0,2163,257399,What to Expect When You're Expecting,40091
Jon Meacham,1,2008.0,2790,3178858,American Lion: Andrew Jackson in the White House,33439
William Shakespeare,1,1589.0,6530,275237,Titus Andronicus,18367
Richard Peck,1,1998.0,4094,1207111,"A Long Way from Chicago (A Long Way from Chicago, #1)",28541
Jennifer Worth,1,2002.0,2702,6292672,"The Midwife: A Memoir of Birth, Joy, and Hard Times",39141
Jacqueline Woodson,1,2014.0,2818,39959105,Brown Girl Dreaming,37633
Hugh Lofting,1,1920.0,2990,803204,"The Story of Doctor Dolittle (Doctor Dolittle, #1)",38819
Robert Greene,1,1988.0,2474,1297604,The 48 Laws of Power,40152
W. Somerset Maugham,1,1915.0,2875,2547187,Of Human Bondage,38515
Sidney Sheldon,1,1970.0,6200,2967387,The Naked Face,14829
Adriana Trigiani,1,2000.0,2994,523148,"Big Stone Gap (Big Stone Gap, #1)",36781
Michael Chabon,1,1988.0,4139,243634,The Mysteries of Pittsburgh,22220
Russell Hoban,1,1960.0,5492,2127174,Bedtime for Frances,23104
Dav Pilkey,1,1997.0,4766,3234368,"The Adventures of Captain Underpants (Captain Underpants, #1)",24414
Dennis Lehane,1,1994.0,3744,22786,"A Drink Before the War (Kenzie & Gennaro, #1)",29551
Ann Patchett,1,1992.0,4363,1043652,The Patron Saint of Liars,25021
Pat Conroy,1,1969.0,6588,1414582,The Water is Wide: A Memoir,15469
Peter Heller,1,2012.0,2516,18538203,The Dog Stars,40825
Pablo Neruda,1,1924.0,2729,2103337,Twenty Love Poems and a Song of Despair,37910
Flannery O'Connor,1,1952.0,4942,1046530,Wise Blood,20326
Daniel Suarez,1,2006.0,3239,4763873,"Daemon (Daemon, #1)",30198
Joseph J. Ellis,1,1996.0,5081,1704815,American Sphinx: The Character of Thomas Jefferson,17625
Robert   Harris,1,1992.0,4863,405136,Fatherland,23562
Bree Despain,1,2009.0,4393,6568723,"The Dark Divine (The Dark Divine, #1)",34463
Dr. Seuss,1,1937.0,7611,1579656,And to Think That I Saw it on Mulberry Street,19213
Sergei Lukyanenko,1,1998.0,3960,349497,Night Watch (Watch #1),32363
Eugene Bradley Coco,1,1960.0,2541,1324719,Peter Pan (A Little Golden Book),38911
Jonathan Maberry,1,2009.0,4995,4039913,"Patient Zero (Joe Ledger, #1)",21202
Amy A. Bartol,1,2011.0,6178,18486007,"Intuition (The Premonition, #2)",20664
Patrick O'Brian,1,1969.0,3109,722040,Master and Commander,35391
Julianne Donaldson,1,2012.0,3746,17969941,"Edenbrooke (Edenbrooke, #1)",30220
Mark Millar,1,2003.0,2678,1950026,Superman: Red Son,37007
Anne Bishop,1,1998.0,5287,353853,Daughter of the Blood (The Black Jewels #1),28102
Yuu Watase,1,1992.0,5291,2389949,"Fushigi Yûgi: The Mysterious Play, Vol. 1: Priestess",18950
Oscar Wilde,1,1887.0,4183,3062141,The Canterville Ghost,29341
Nelson DeMille,1,1988.0,3671,1832566,The Charm School,27577
John C. Maxwell,1,1993.0,5228,177444,Developing the Leader Within You,16298
Alastair Reynolds,1,2000.0,3111,219037,Revelation Space,32980
Elizabeth  George,1,1988.0,4231,1567538,"A Great Deliverance (Inspector Lynley, #1)",30202
Marcus Buckingham,1,1998.0,3361,49725,"First, Break All the Rules: What the World's Greatest Managers Do Differently",27673
Kate Brian,1,2005.0,4314,841287,Megan Meade's Guide to the McGowan Boys,30877
Susan Vreeland,1,1999.0,3352,19815,Girl in Hyacinth Blue,33042
Naomi Klein,1,1999.0,5120,621375,No Logo,20634
Rob Thomas,1,2014.0,3559,25630244,"The Thousand-Dollar Tan Line (Veronica Mars, #1)",32491
Karen Chance,1,2006.0,6967,65477,"Touch the Dark (Cassandra Palmer, #1)",28277
Nora Ephron,1,1983.0,8384,1897560,Heartburn,14448
Kass Morgan,1,2013.0,4572,24065011,"The 100 (The 100, #1)",32930
Hiro Fujiwara,1,2006.0,2585,6258392,"Maid-sama! Vol. 01 (Maid-sama!, #1)",36535
Honoré de Balzac,1,1833.0,8570,1399014,Eugénie Grandet,13280
Julia Child,1,1961.0,2459,2897158,Mastering the Art of French Cooking,35315
Atul Gawande,1,2002.0,3308,2710546,Complications: A Surgeon's Notes on an Imperfect Science,27901
Susan Meissner,1,2014.0,4988,25441372,A Fall of Marigolds,21299
Michael Morpurgo,1,1982.0,3742,1575365,"War Horse (War Horse, #1)",31591
John Piper,1,1986.0,3331,2404919,Desiring God: Meditations of a Christian Hedonist,25962
Julie Otsuka,1,2002.0,9386,2592921,When the Emperor Was Divine,13268
Edward Abbey,1,1968.0,3024,234706,Desert Solitaire,29658
Robert Cormier,1,1974.0,3657,1122617,"The Chocolate War (Chocolate War, #1)",33735
Malorie Blackman,1,2001.0,3418,853421,"Noughts & Crosses (Noughts & Crosses, #1)",33891
Jack Canfield,1,1993.0,3196,1958046,Chicken Soup for the Soul,30141
Michelle Moran,1,2007.0,4146,2897082,Nefertiti,27885
Kaye Gibbons,1,1987.0,4938,1347714,Ellen Foster,24511
Janette Oke,1,1979.0,3531,63547,"Love Comes Softly (Love Comes Softly, #1)",30663
Steve Martin,1,2000.0,3250,1028908,Shopgirl,32356
Lauren Beukes,1,2013.0,3267,21956898,The Shining Girls,32360
Michel Faber,1,2000.0,6852,118483,Under the Skin,15351
Roberto Bolaño,1,1998.0,4202,2503920,The Savage Detectives,23550
Anna Dewdney,1,2005.0,3596,731703,Llama Llama Red Pajama,31456
Chelsea Cain,1,2007.0,3745,643122,"Heartsick (Archie Sheridan & Gretchen Lowell, #1)",30217
Jeffrey Archer,1,1976.0,2827,1952681,"Not a Penny More, Not a Penny Less",31207
Ruth Reichl,1,1998.0,3546,52320,Tender at the Bone: Growing Up at the Table,28891
Lisa Scottoline,1,2009.0,3475,5422627,Look Again,34098
Lawrence Wright,1,2006.0,6317,2567720,The Looming Tower: Al-Qaeda and the Road to 9/11,15017
Lang Leav,1,2013.0,3447,25266150,Love & Misadventure,30703
Adeline Yen Mah,1,1997.0,4759,1429862,Falling Leaves: The Memoir of an Unwanted Chinese Daughter,21301
Ravinder Singh,1,2007.0,2749,7364012,I Too Had a Love Story,29161
Julie Anne Peters,1,2004.0,6124,1532237,Luna,18820
Gary Shteyngart,1,2006.0,6917,1363422,Absurdistan,11734
Plato,1,-400.0,4330,23649,The Trial and Death of Socrates,22697
Giada De Laurentiis,1,2005.0,2744,5387,Everyday Italian: 125 Simple and Delicious Recipes,32871
Claire Messud,1,2006.0,4614,3255539,The Emperor's Children,17593
Jude Deveraux,1,1980.0,7058,766654,"The Black Lyon (Montgomery/Taggert, #1)",15837
René Goscinny,1,1959.0,4902,123908,"Le Petit Nicolas (Le petit Nicolas, #1)",27363
Melina Marchetta,1,1992.0,7433,1149644,Looking for Alibrandi,17432
Dorothy L. Sayers,1,1923.0,4290,1090544,"Whose Body?  (Lord Peter Wimsey, #1)",31112
Judith McNaught,1,1985.0,6029,340933,"Whitney, My Love (Westmoreland, #2)",24947
Jack Welch,1,1992.0,2442,856917,Winning,33860
Iris Johansen,1,1998.0,6619,745050,"The Face Of Deception (Eve Duncan, #1)",18852
Charlaine Harris,1,1990.0,7267,2047552,"Real Murders (Aurora Teagarden, #1)",21752
Miranda July,1,2005.0,3187,3173608,No One Belongs Here More Than You,27817
L.A. Weatherly,1,2010.0,5106,12469574,"Angel (Angel, #1)",29204
Walt Disney Company,1,1812.0,5351,135917,Snow White and the Seven Dwarfs (Little Golden Book),20343
Raymond Carver,1,1976.0,8818,1038760,"Will You Please Be Quiet, Please?",10505
Christopher Yost,1,2009.0,2655,6581562,"Ender's Game, Volume 1: Battle School (Ender's Saga)",32329
Mitchell Zuckoff,1,2011.0,3682,14618372,"Lost in Shangri-la: A True Story of Survival, Adventure, and the Most Incredible Rescue Mission of World War II",31504
Carrie Vaughn,1,2005.0,6725,1232488,Kitty and the Midnight Hour (Kitty Norville #1),26266
P.D. James,1,1962.0,4586,625423,Cover Her Face (Adam Dalgliesh #1),24819
Rainer Maria Rilke,1,1929.0,3451,1208289,Letters to a Young Poet,32449
William Blake,1,1789.0,3934,24839,Songs of Innocence and of Experience,29506
Chris d'Lacey,1,2001.0,5598,302958,"The Fire Within (The Last Dragon Chronicles, #1)",23309
Jennifer Lynn Barnes,1,2010.0,5757,7129899,"Raised by Wolves (Raised by Wolves, #1)",25615
Scott B. Smith,1,1993.0,5313,593515,A Simple Plan,19650
David Brin,1,1980.0,6558,461555,"Sundiver (The Uplift Saga, #1)",18433
Pepper Winters,1,2013.0,7125,25474810,"Tears of Tess (Monsters in the Dark, #1)",25134
Faith Hunter,1,2009.0,6292,5757031,"Skinwalker (Jane Yellowrock, #1)",25531
Ami McKay,1,2006.0,3217,2307275,The Birth House,32573
Nigella Lawson,1,1998.0,4272,39249,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,23164
Jonathan Lethem,1,1999.0,3417,1971553,Motherless Brooklyn,25320
Kristen Britain,1,1998.0,5414,2566190,"Green Rider (Green Rider, #1)",25680
Lisa Gardner,1,1997.0,4066,553563,"The Perfect Husband (Quincy & Rainie, #1)",29902
Thomas Malory,1,1485.0,4273,1361856,Le Morte d'Arthur: King Arthur and the Legends of the Round Table,29697
Lisa Lutz,1,2007.0,4858,2896642,"The Spellman Files (The Spellmans, #1)",27806
Mike Carey,1,1996.0,3521,3899092,Neil Gaiman's Neverwhere,29935
C.J. Sansom,1,2003.0,4113,133702,"Dissolution (Matthew Shardlake, #1)",27657
Madeleine Wickham,1,1998.0,5305,2092905,The Gatecrasher,19859
Richard Kadrey,1,2009.0,4334,5948537,"Sandman Slim (Sandman Slim, #1)",26856
Glennon Doyle Melton,1,2013.0,5869,21526100,"Carry On, Warrior: Thoughts on Life Unarmed",16521
A.S. King,1,2010.0,5320,6860540,Please Ignore Vera Dietz,23333
Ellen Marie Wiseman,1,2012.0,8566,18541011,The Plum Tree,10909
John Saul,1,1977.0,4187,221202,Suffer the Children,24798
Elizabeth Gaskell,1,1848.0,8564,2887963,Mary Barton,13179
Brian  McClellan,1,2013.0,4378,21512438,"Promise of Blood (Powder Mage, #1)",24964
Michael J. Sullivan,1,2008.0,8568,21574260,"The Crown Conspiracy (The Riyria Revelations, #1)",13127
Robert A. Heinlein,1,1951.0,4175,2534984,The Puppet Masters,26134
Irvin D. Yalom,1,1989.0,5670,162246,Love's Executioner and Other Tales of Psychotherapy,16134
Kalayna Price,1,2010.0,7618,10865876,"Grave Witch (Alex Craft, #1)",23725
E.E. Cummings,1,1954.0,4301,1140,100 Selected Poems,22638
Eric Van Lustbader,1,2003.0,3709,2517460,"The Bourne Legacy (Jason Bourne, #4)",24627
Plum Sykes,1,2004.0,3656,98,Bergdorf Blondes,25822
Tom Perrotta,1,2004.0,3856,828476,Little Children,26333
Lars Kepler,1,2009.0,3757,7184205,"The Hypnotist (Joona Linna, #1)",30432
John Layman,1,2009.0,4213,7050578,"Chew, Vol. 1: Taster's Choice",27899
Carol Shields,1,1993.0,3889,1820281,The Stone Diaries,30095
P.G. Wodehouse,1,1919.0,4222,463407,"My Man Jeeves (Jeeves, #1)",26687
Sara Donati,1,1998.0,4148,3098033,"Into the Wilderness (Wilderness, #1)",27851
J. Courtney Sullivan,1,2009.0,8525,6257109,Commencement ,13848
Diane Muldrow,1,1954.0,4883,2768040,The Little Red Hen (Little Golden Book),23043
Julie Garwood,1,1987.0,5886,1424362,Honor's Splendour,23453
Kristin Hannah,1,1996.0,6757,210514,Home Again,15526
Victoria Schwab,1,2013.0,8695,15846509,"The Archived (The Archived, #1)",18048
Joshua Ferris,1,2007.0,3296,2926759,Then We Came to the End,28197
Antonia Fraser,1,1992.0,8618,1037620,The Wives of Henry VIII,13991
Richard Russo,1,1993.0,5187,645468,Nobody's Fool,19930
Rachel Gibson,1,1998.0,9159,58584,"Simply Irresistible (Chinooks Hockey Team, #1)",18453
Maya Banks,1,2008.0,7252,1322547,"Sweet Surrender (Sweet, #1)",22582
Margaret Atwood,1,1969.0,5257,1007843,The Edible Woman,23191
Ross King,1,2000.0,4893,515240,Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,18672
Jeff Shaara,1,1991.0,7498,168568,"The Last Full Measure (The Civil War Trilogy, #3)",12619
Graham Greene,1,1938.0,6999,2468586,Brighton Rock,16340
Beatriz Williams,1,2013.0,4254,21998951,A Hundred Summers,24680
Margaret George,1,1986.0,4368,2505877,"The Autobiography of Henry VIII: With Notes by His Fool, Will Somers",23288
Alison Croggon,1,2002.0,6396,382708,"The Naming (The Books of Pellinor, #1)",21162
Armistead Maupin,1,1978.0,3794,815206,"Tales of the City (Tales of the City, #1)",27676
Gary Zukav,1,1979.0,9874,1237369,Dancing Wu Li Masters: An Overview of the New Physics (Perennial Classics),8403
Molière,1,1664.0,4999,2115103,Tartuffe,24740
Roland Barthes,1,1957.0,9303,882883,Mythologies,10470
Michael Teitelbaum,1,1986.0,5898,41398086,Sleeping Beauty: a Little Golden Book (Disney Princess),16856
Bernard Cornwell,1,1988.0,8635,2918547,"Sharpe's Rifles (Sharpe, #6)",11557
James Gleick,1,1987.0,4018,62690,Chaos: Making a New Science,23320
Joan Didion,1,1968.0,5146,1844,Slouching Towards Bethlehem,20348
Ina Garten,1,1999.0,4035,7619,The Barefoot Contessa Cookbook,22566
Judy Schachner,1,2003.0,4258,649854,Skippyjon Jones,27420
Matt Haig,1,2013.0,4674,21955852,The Humans,24334
Dietrich Bonhoeffer,1,1937.0,3951,2723088,The Cost of Discipleship,24401
Peter F. Hamilton,1,1996.0,4352,747250,"The Reality Dysfunction (Night's Dawn, #1)",24315
Hampton Sides,1,2001.0,3631,1484198,Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,24785
David Wiesner,1,1991.0,5143,3036058,Tuesday,21869
Brad Thor,1,2002.0,4523,2164503,"The Lions of Lucerne (Scot Harvath, #1)",22883
Clayton M. Christensen,1,1997.0,3661,1468535,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business (Collins Business Essentials),24443
Elizabeth Eulberg,1,2010.0,6209,6803681,"The Lonely Hearts Club (The Lonely Hearts Club, #1)",21410
Wendy Mass,1,2005.0,5913,165142,A Mango-Shaped Space,21859
Richard Branson,1,2006.0,8855,192373,"Screw It, Let's Do It: Lessons In Life",9297
Sinclair Lewis,1,1920.0,5404,18537748,Main Street,20509
James M. Cain,1,1934.0,5033,808562,The Postman Always Rings Twice,23168
Beth Harbison,1,2007.0,3891,1402076,"Shoe Addicts Anonymous (Shoe Addict, #1)",24866
Leigh Nichols,1,1979.0,4528,359562,The Key to Midnight,23143
Lynsay Sands,1,2003.0,9342,255087,Single White Vampire (Argeneau #3),18616
Brian Staveley,1,2014.0,4472,25095579,"The Emperor's Blades (Chronicle of the Unhewn Throne, #1)",23710
Kerry Patterson,1,2001.0,3542,2051713,Crucial Conversations: Tools for Talking When Stakes Are High,28982
David Mitchell,1,1999.0,4828,1094555,Ghostwritten,21178
Patricia Highsmith,1,1950.0,9793,1187279,Strangers on a Train,11500
Mary Pope Osborne,1,1993.0,9088,72403,"The Knight at Dawn (Magic Tree House, #2)",14084
Kelly Corrigan,1,2005.0,3905,2328657,The Middle Place,25515
Bertrand Russell,1,1927.0,6156,1043242,Why I Am Not a Christian and Other Essays on Religion and Related Subjects,14962
Laurie Faria Stolarz,1,2003.0,9138,465559,"Blue is for Nightmares (Blue is for Nightmares, #1)",16273
John Stuart Mill,1,1859.0,4733,2387235,On Liberty,21567
Kristan Higgins,1,2009.0,9464,5090918,Too Good to Be True,16143
H.P. Lovecraft,1,1926.0,3820,6750943,The Call of Cthulhu and Other Weird Stories,27568
Brian Azzarello,1,1999.0,8097,2647240,"100 Bullets, Vol. 1: First Shot, Last Call",13117
Founding Fathers,1,1776.0,6751,1694397,The Declaration of Independence and The Constitution of the United States,17123
Wilbur Smith,1,1964.0,9979,891697,"When the Lion Feeds (Courtney, #1)",9581
Leo Lionni,1,1963.0,6632,2857646,Swimmy,19466
Michael J. Fox,1,2002.0,5394,2166070,Lucky Man,18607
Mercer Mayer,1,1968.0,8771,575600,There's a Nightmare in My Closet,13605
Steve Berry,1,2003.0,6690,2696461,The Amber Room,18188
Nina LaCour,1,2009.0,6034,6561348,Hold Still,17546
Seth Godin,1,2003.0,4059,155235,Purple Cow: Transform Your Business by Being Remarkable,26362
Wayne W. Dyer,1,1899.0,7291,456945,Change Your Thoughts - Change Your Life: Living the Wisdom of the Tao,12818
Sarah Vowell,1,2000.0,8045,748402,Take the Cannoli,12330
Max Barry,1,2002.0,9287,1647,Jennifer Government,11600
Amy Harmon,1,2013.0,8488,24321178,A Different Blue,19902
Steven Johnson,1,2006.0,3782,1008989,"The Ghost Map: The Story of London's Most Terrifying Epidemic - and How It Changed Science, Cities, and the Modern World",27232
Ann M. Martin,1,1986.0,5621,2302767,"Kristy's Great Idea (The Baby-Sitters Club, #1)",23186
Henry James,1,1878.0,6104,3274683,Daisy Miller,20939
Alessandro Baricco,1,1994.0,9941,59587,Novecento. Un monologo,11676
Guy de Maupassant,1,1884.0,7210,75319,The Necklace and Other Short Stories,14366
Norman Mailer,1,1948.0,4810,2223651,The Naked and the Dead,19912
Tom Angleberger,1,2010.0,4405,7415356,"The Strange Case of Origami Yoda (Origami Yoda, #1)",23852
Scott Snyder,1,2010.0,6171,10091604,"American Vampire, Vol. 1",18407
Laura Lippman,1,2007.0,7414,1361691,What the Dead Know,17182
Allen Say,1,1993.0,7720,201468,Grandfather's Journey,13547
Matthew Inman,1,2010.0,9495,10891357,5 Very Good Reasons to Punch a Dolphin in the Mouth and Other Useful Guides,10075
Hillary Rodham Clinton,1,2003.0,3896,480368,Living History,24813
Thich Nhat Hanh,1,1975.0,6617,105847,The Miracle of Mindfulness: An Introduction to the Practice of Meditation,15001
Sharon Kay Penman,1,1982.0,6480,2046265,The Sunne in Splendour,16936
Stephen Briggs,1,1992.0,6083,18659768,Guards! Guards!: The Play,15126
Linwood Barclay,1,2007.0,5065,2906898,No Time for Goodbye (No Time For Goodbye #1),21479
Carlos Ruiz Zafón,1,1986.0,5822,1044059,"The Prince of Mist (Niebla, #1)",22022
Owen  West,1,1980.0,5795,2212445,The Funhouse,19217
Simon Singh,1,1997.0,5269,38182,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,18750
Linda Howard,1,1994.0,9358,70297,Dream Man,15373
Megan Abbott,1,2012.0,6623,18141649,Dare Me,17353
Tessa Dare,1,2012.0,9380,16687336,"A Week to Be Wicked (Spindle Cove, #2)",16273
Denis Johnson,1,1992.0,4055,1033961,Jesus' Son,22546
Lynda Mullaly Hunt,1,2012.0,7181,15093617,One for the Murphys,17018
Cormac McCarthy,1,1968.0,8163,791775,Outer Dark,11246
Debbie Macomber,1,2001.0,6943,4083740,"16 Lighthouse Road (Cedar Cove, #1)",17930
Caroline Myss,1,1996.0,4252,1184118,Anatomy of the Spirit: The Seven Stages of Power and Healing,21395
Jon Klassen,1,2011.0,7029,16160067,I Want My Hat Back,18928
Cynthia Voigt,1,1981.0,7345,213788,"Homecoming (Tillerman Cycle, #1)",18107
Michel Houellebecq,1,1998.0,4763,2595873,The Elementary Particles,21691
Chris Anderson,1,2006.0,4398,989032,The Long Tail: Why the Future of Business is Selling Less of More,22270
Danny Gregory,1,2005.0,5212,39853,The Creative License: Giving Yourself Permission to Be The Artist You Truly Are,18139
Matthew Reilly,1,1996.0,9082,955313,Contest,11245
Andrea Hirata,1,2005.0,3678,1987965,"Laskar Pelangi (Tetralogi Laskar Pelangi, #1)",20105
The Church of Jesus Christ of Latter-day Saints,1,1950.0,4154,733204,"Book of Mormon, Doctrine and Covenants, Pearl of Great Price",23176
Larry Correia,1,2009.0,5874,2581372,"Monster Hunter International (Monster Hunter International, #1)",19850
Robyn Carr,1,2007.0,7637,2043796,"Virgin River (Virgin River, #1)",19555
James Rollins,1,1999.0,5750,1018132,Subterranean,18876
Mary Kay Andrews,1,2002.0,7721,811180,"Savannah Blues (Weezie and Bebe Mysteries, #1)",15169
R.D. Ronald,1,2010.0,5828,14175566,The Elephant Tree,15558
Arina Tanemura,1,2001.0,5213,556398,"Full Moon o Sagashite, Vol. 1",19640
Dee Henderson,1,1999.0,9824,349585,Danger in the Shadows (O'Malley #0.5),11527
Joss Whedon,1,2004.0,4075,154982,"Astonishing X-Men, Volume 1: Gifted",22949
Douglas Coupland,1,1991.0,4238,2851520,Generation X: Tales for an Accelerated Culture,22904
Stephen Fry,1,1997.0,6559,2951429,Moab Is My Washpot (Memoir #1),17128
Larry McMurtry,1,1966.0,9860,1069014,The Last Picture Show,11072
Pema Chödrön,1,1996.0,4050,2464740,When Things Fall Apart: Heart Advice for Difficult Times,23012
Georgette Heyer,1,1950.0,6927,3234291,The Grand Sophy,18859
Evelyn Waugh,1,1934.0,5908,3115332,A Handful of Dust,19093
T.C. Boyle,1,1995.0,4561,1267673,The Tortilla Curtain,22620
Pat Barker,1,1991.0,5392,9250,"Regeneration (Regeneration, #1)",19993
Peter Carey,1,1988.0,6335,2304710,Oscar and Lucinda,16639
Andrew  Smith,1,2013.0,6226,16818567,"Winger (Winger, #1)",19460
Yoshihiro Togashi,1,1990.0,6576,420998,"Yu Yu Hakusho, Volume 1: Goodbye, Material World! (Yu Yu Hakusho, #1)",14037
Clive Cussler,1,1973.0,8131,2861842,"The Mediterranean Caper (Dirk Pitt, #2)",14972
Michel Foucault,1,1975.0,5210,1946946,Discipline and Punish: The Birth of the Prison,18390
Beverly  Lewis,1,1997.0,4717,496436,"The Shunning (The Heritage of Lancaster County, #1)",21421
Dean Koontz,1,1976.0,4795,4536973,Night Chills,20815
Sara Zarr,1,2007.0,8298,2420507,Story of a Girl,15064
Joshua Harris,1,1996.0,4936,230027,I Kissed Dating Goodbye,17949
Roland Smith,1,2007.0,8279,3348719,Peak (Peak #1),14027
Lauren Groff,1,2008.0,7285,2881737,The Monsters of Templeton,15878
Immanuel Kant,1,1781.0,4727,1072226,Critique of Pure Reason,21509
Sarah Jio,1,2011.0,6328,14613617,The Violets of March,19306
Jessica Verday,1,2009.0,7926,3029303,"The Hollow (The Hollow, #1)",18415
Milan Kundera,1,1967.0,4531,1457765,The Joke,20673
James Herbert,1,1974.0,9710,2452726,"The Rats (Rats, #1)",11972
Deborah Rodriguez,1,2007.0,5703,2893104,Kabul Beauty School: An American Woman Goes Behind the Veil,19172
Jonathan Harr,1,1995.0,7716,227861,A Civil Action,12304
Jen Hatmaker,1,2011.0,6949,17143199,7: An Experimental Mutiny Against Excess,14325
Susanna Kearsley,1,1994.0,7102,1916770,Mariana,17781
Ben Mezrich,1,2002.0,4096,502278,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,19852
Scott  Meyer,1,2013.0,5186,24775619,"Off to Be the Wizard (Magic 2.0, #1)",19709
Elisabeth Elliot,1,1956.0,5643,1007543,Through Gates of Splendor,17062
